version,class_count,method_count,avg_cbo,avg_wmc,avg_dit,avg_rfc,avg_lcom,avg_tcc,dam,classes_with_children,public_methods_qty,total_fields_qty
v4.0.4,192,1517,4.9218750000,17.4947916667,1.8125000000,14.2968750000,157.7968750000,,0.7739130435,0,960.0000000000,460.0000000000
v4.1.0,194,1537,4.9484536082,17.6030927835,1.8041237113,14.4484536082,160.5927835052,,0.7737068966,0,973.0000000000,464.0000000000
v4.1.4,194,1537,4.9587628866,17.6958762887,1.8041237113,14.5051546392,160.5927835052,,0.7737068966,0,973.0000000000,464.0000000000
v4.2.0,199,1592,4.9949748744,18.0000000000,1.7839195980,14.7437185930,165.2914572864,,0.7722567288,0,1015.0000000000,483.0000000000
v4.3.0,206,1666,4.9854368932,18.5097087379,1.7669902913,15.0970873786,173.8640776699,,0.7742574257,0,1066.0000000000,505.0000000000
v4.3.2,207,1668,4.9806763285,18.4202898551,1.7826086957,15.0338164251,173.0241545894,,0.7727272727,0,1068.0000000000,506.0000000000
v4.4.0,209,1716,4.9569377990,18.7894736842,1.7942583732,15.2105263158,185.5645933014,,0.7758284600,0,1104.0000000000,513.0000000000
v4.5.2,209,1721,4.9808612440,18.8325358852,1.7942583732,15.2918660287,185.8229665072,,0.7758284600,0,1108.0000000000,513.0000000000
v4.6.3,215,1805,5.0093023256,19.2418604651,1.7720930233,15.5162790698,209.2837209302,,0.7737226277,0,1149.0000000000,548.0000000000
v4.7.7,219,1848,5.0410958904,19.5616438356,1.7579908676,15.7762557078,214.3470319635,,0.7789661319,0,1180.0000000000,561.0000000000
